,Unnamed: 0,aucs,params,time
74,74,2.8314399157815124,"(1, 4, 0.66, 3000)",22.014302935148862
75,75,2.7427972043261803,"(1, 4, 0.99, 1000)",7.565995398856102
76,76,2.8614431017461945,"(1, 4, 0.99, 1500)",11.13819633500907
77,77,2.84783415601534,"(1, 4, 0.99, 2000)",14.837805642895546
78,78,2.7974569849231665,"(1, 4, 0.99, 2500)",18.306952699295834
79,79,2.9147011309643,"(1, 4, 0.99, 3000)",21.964529849463812
80,80,3.0547600360477674,"(2, 2, 0.0, 1000)",12.423919520498204
81,81,3.1867358935668184,"(2, 2, 0.0, 1500)",18.522919253704917
82,82,3.208659309367923,"(2, 2, 0.0, 2000)",24.60432904181971
83,83,3.297632160169237,"(2, 2, 0.0, 2500)",30.776882816111993
84,84,3.309530307264889,"(2, 2, 0.0, 3000)",36.647483688568634
85,85,2.9168302596272793,"(2, 2, 0.33, 1000)",8.236630353857889
86,86,2.9088024451013874,"(2, 2, 0.33, 1500)",12.236980957076867
87,87,2.901017779878834,"(2, 2, 0.33, 2000)",16.46661125925266
88,88,2.8872817096464773,"(2, 2, 0.33, 2500)",20.71532443369188
89,89,2.8903862721341502,"(2, 2, 0.33, 3000)",24.60731517553177
90,90,2.966192306096062,"(2, 2, 0.66, 1000)",8.440050062228238
91,91,2.776726696377292,"(2, 2, 0.66, 1500)",12.481068962675636
92,92,3.0067645053872285,"(2, 2, 0.66, 2000)",16.669283945306233
93,93,2.87020567230442,"(2, 2, 0.66, 2500)",20.88522228383772
94,94,2.8745992136790477,"(2, 2, 0.66, 3000)",25.0407375797754
95,95,2.785638429618934,"(2, 2, 0.99, 1000)",8.660877290270038
96,96,2.7311245909727675,"(2, 2, 0.99, 1500)",12.913024420701733
97,97,2.8260893761235124,"(2, 2, 0.99, 2000)",17.165163170178854
98,98,2.7491384000024377,"(2, 2, 0.99, 2500)",21.241035382988684
99,99,2.8084637710495906,"(2, 2, 0.99, 3000)",25.49627536460639
100,100,2.8507611691951746,"(2, 4, 0.0, 1000)",7.096668431322996
101,101,2.683796973526478,"(2, 4, 0.0, 1500)",10.470566510547995
102,102,2.7601409894140323,"(2, 4, 0.0, 2000)",14.084242271015226
103,103,2.8238022038165265,"(2, 4, 0.0, 2500)",17.62386308874511
104,104,2.91193631799782,"(2, 4, 0.0, 3000)",20.849683130119047
105,105,2.6653430875609905,"(2, 4, 0.33, 1000)",5.910073766358438
106,106,2.630396944810362,"(2, 4, 0.33, 1500)",8.765100313028142
107,107,2.6396689259392376,"(2, 4, 0.33, 2000)",11.77552538101918
108,108,2.7945291332462254,"(2, 4, 0.33, 2500)",14.793200532469655
109,109,2.7222480336094605,"(2, 4, 0.33, 3000)",17.66555637657757
110,110,2.6215018818045364,"(2, 4, 0.66, 1000)",5.987486119046481
111,111,2.6566798989825386,"(2, 4, 0.66, 1500)",9.342665618116369
112,112,2.6257215826826936,"(2, 4, 0.66, 2000)",12.163838420804948
113,113,2.6283515648149396,"(2, 4, 0.66, 2500)",14.962441874595244
114,114,2.5970342507257183,"(2, 4, 0.66, 3000)",17.764456935169164
115,115,2.6718509401906942,"(2, 4, 0.99, 1000)",5.894455300882783
116,116,2.536707132353502,"(2, 4, 0.99, 1500)",8.950577517533475
117,117,2.5587279907044245,"(2, 4, 0.99, 2000)",11.911230617299225
118,118,2.5548734914730575,"(2, 4, 0.99, 2500)",14.840686455959714
119,119,2.6759466809823236,"(2, 4, 0.99, 3000)",17.722377844111637
120,120,2.6496328121160757,"(2, 6, 0.0, 1000)",5.994423313577953
121,121,2.5757800809162505,"(2, 6, 0.0, 1500)",8.786492696696769
122,122,2.539035240648424,"(2, 6, 0.0, 2000)",11.875156200019774
123,123,2.6219345049603895,"(2, 6, 0.0, 2500)",14.988588214424
124,124,2.607044603500296,"(2, 6, 0.0, 3000)",17.368044262609146
